Bauperiode,Bezirk,Adresse
Nach 1976,01,Schanzelufer L
1884-1918,01,Michaelerplatz 1
1884-1918,01,Liliengasse 1
1860-1883,01,Pestalozzigasse 4
1860-1883,01,Pestalozzigasse 3
1860-1883,01,Pestalozzigasse 1
Vor 1683,01,Blutgasse 9
1683-1740,01,Blutgasse 7
1781-1848,01,Blutgasse 5
Vor 1683,01,Blutgasse 3
1946-1976,01,Aspernbrücke 106
1860-1883,01,Gauermanngasse 2 - 4
1860-1883,01,Elisabethstraße 24
1860-1883,01,Elisabethstraße 22
1860-1883,01,Elisabethstraße 20
1860-1883,01,Elisabethstraße 18
1860-1883,01,Elisabethstraße 16
1860-1883,01,Universitätsstraße 11
1860-1883,01,Elisabethstraße 15
1860-1883,01,Universitätsstraße 5
1860-1883,01,Elisabethstraße 14
1860-1883,01,Elisabethstraße 13
1860-1883,01,Elisabethstraße 26
1946-1976,01,Elisabethstraße 12
Vor 1683,01,Michaelerplatz 5
1946-1976,01,Tegetthoffstraße 1
1884-1918,01,Walfischgasse 3
1884-1918,01,Walfischgasse 1
1860-1883,01,Hegelgasse 21
1860-1883,01,Hegelgasse 19
1884-1918,01,Spiegelgasse 10
1781-1848,01,Spiegelgasse 9
1884-1918,01,Spiegelgasse 8
1884-1918,01,Spiegelgasse 6
1884-1918,01,Spiegelgasse 4
1884-1918,01,Spiegelgasse 3
1884-1918,01,Spiegelgasse 2
1884-1918,01,Spiegelgasse 1
Nach 1976,01,Michaelerplatz R
1741-1780,01,Seilergasse 15
1884-1918,01,Seilergasse 14
1884-1918,01,Seilergasse 9
1781-1848,01,Seilergasse 8
1781-1848,01,Seilergasse 6
1860-1883,01,Seilergasse 4
1884-1918,01,Seilergasse 3
1860-1883,01,Seilergasse 2
1884-1918,01,Tegetthoffstraße 7
1884-1918,01,Tegetthoffstraße 3
Vor 1683,01,Tegetthoffstraße 2
1884-1918,01,Seilergasse 16
1946-1976,01,Walfischgasse 4
1860-1883,01,Elisabethstraße 10
1860-1883,01,Elisabethstraße 7
1946-1976,01,Schwedenplatz 2
1946-1976,01,Schwedenplatz 3 - 4 / 2
1946-1976,01,Schwedenplatz 3 - 4 / 1
1860-1883,01,Renngasse 15
1860-1883,01,Renngasse 13
1683-1740,01,Renngasse 12
1946-1976,01,Renngasse 10
1946-1976,01,Renngasse 10 / 2
1860-1883,01,Renngasse 9
1946-1976,01,Schwedenbrücke 105
1860-1883,01,Oppolzergasse 6
1884-1918,01,Opernring 19
1884-1918,01,Opernring 11
1946-1976,01,Opernring 4 / 1
1884-1918,01,Renngasse 6 - 8
1860-1883,01,Renngasse 5
1683-1740,01,Renngasse 4
1781-1848,01,Renngasse 3
1884-1918,01,Renngasse 2
1683-1740,01,Renngasse 1
1860-1883,01,Elisabethstraße 1
1860-1883,01,Schwarzenbergstraße 8
1884-1918,01,Schwarzenbergstraße 5 - 7
1884-1918,01,Schwarzenbergstraße 1 - 3
1860-1883,01,Opernring 6
1860-1883,01,Elisabethstraße 8
1884-1918,01,Seitzergasse 6
1781-1848,01,Seitzergasse 5 A
1946-1976,01,Elisabethstraße 6 / 3
1946-1976,01,Elisabethstraße 6 / 4
1946-1976,01,Elisabethstraße 6 / 2
1781-1848,01,Landhausgasse 2
1781-1848,01,Landhausgasse 4
1860-1883,01,Schwarzenbergplatz 16
1860-1883,01,Schwarzenbergplatz 15
1860-1883,01,Schwarzenbergplatz 2
1860-1883,01,Schwarzenbergplatz 1
1860-1883,01,Elisabethstraße 5
1946-1976,01,Elisabethstraße 4 / 5
Vor 1683,01,Seitzergasse 5
1884-1918,01,Elisabethstraße 3 / 1
1884-1918,01,Elisabethstraße 3 / 2
1860-1883,01,Hegelgasse 17
1860-1883,01,Hegelgasse 15
1884-1918,01,Hegelgasse 14
Vor 1683,01,Am Gestade 1
Vor 1683,01,Am Gestade 3 - 7
Vor 1683,01,Am Gestade 3
Vor 1683,01,Am Gestade 5
Vor 1683,01,Am Gestade 7
1919-1945,01,Seitzergasse 2 - 4
1884-1918,01,Elisabethstraße 3
1860-1883,01,Kärntner Ring 18
1781-1848,01,Walfischgasse 5
1946-1976,01,Walfischgasse 6 / 2
1781-1848,01,Plankengasse 2
1884-1918,01,Plankengasse 1
1919-1945,01,Stallburggasse S
1884-1918,01,Stallburggasse 4
1884-1918,01,Stallburggasse 2
1781-1848,01,Göttweihergasse 1
1860-1883,01,Gölsdorfgasse 4
1860-1883,01,Gölsdorfgasse 3
1860-1883,01,Gölsdorfgasse 2 / 2
1860-1883,01,Gölsdorfgasse 2 / 1
1860-1883,01,Gölsdorfgasse 1
1884-1918,01,Plankengasse 3
1741-1780,01,Ballgasse 8
1781-1848,01,Ballgasse 6
1781-1848,01,Ballgasse 4
1860-1883,01,Kupferschmiedgasse 2
1946-1976,01,Dorotheergasse 24
1946-1976,01,Dorotheergasse 22
1946-1976,01,Dorotheergasse 20
1781-1848,01,Dorotheergasse 18
1884-1918,01,Dorotheergasse 17
1781-1848,01,Dorotheergasse 16
1683-1740,01,Dorotheergasse 12
Vor 1683,01,Dorotheergasse 11
1884-1918,01,Plankengasse 4
1781-1848,01,Plankengasse 7
1860-1883,01,Rathausstraße 17
1860-1883,01,Rathausstraße 15
1884-1918,01,Rathausstraße 14 - 16
1860-1883,01,Rathausstraße 13
1860-1883,01,Rathausstraße 11
1860-1883,01,Rathausstraße 9
1860-1883,01,Rathausstraße 8
1860-1883,01,Rathausstraße 7
1860-1883,01,Rathausstraße 5
1884-1918,01,Rathausstraße 4
1860-1883,01,Rathausstraße 3
1884-1918,01,Rathausstraße 2
1946-1976,01,Rathausstraße 1
1781-1848,01,Plankengasse 6
