Bezirk,Straße,Hausnummer,Zuschlag_bis_0319,Zuschlag_seit_0419,Differenz
1,Akademiestraße ,2,10.93,12.21,1.28
1,Akademiestraße ,12,10.93,12.21,1.28
1,Albertinaplatz ,1,10.93,12.21,1.28
1,Am Gestade ,1,10.93,12.21,1.28
1,Am Gestade ,3 - 7,10.93,12.21,1.28
1,Am Gestade ,3,10.93,12.21,1.28
1,Am Gestade ,5,10.93,12.21,1.28
1,Am Gestade ,7,10.93,12.21,1.28
1,Am Hof ,13 / 2,10.93,12.21,1.28
1,Am Hof ,12,10.93,12.21,1.28
1,Am Hof ,11,10.93,12.21,1.28
1,Am Hof ,9 - 10,10.93,12.21,1.28
1,Am Hof ,8,10.93,12.21,1.28
1,Am Hof ,6 A,10.93,12.21,1.28
1,Am Hof ,5,10.93,12.21,1.28
1,Am Hof ,3 - 4,10.93,12.21,1.28
1,Am Hof ,2,10.93,12.21,1.28
1,Am Hof ,1 / 2,10.93,12.21,1.28
1,An der Hülben ,4,10.93,12.21,1.28
1,Annagasse ,1,10.93,12.21,1.28
1,Annagasse ,3 B,10.93,12.21,1.28
1,Annagasse ,3 - 3 - A,10.93,12.21,1.28
1,Annagasse ,4,10.93,12.21,1.28
1,Annagasse ,5,10.93,12.21,1.28
1,Annagasse ,6,10.93,12.21,1.28
1,Annagasse ,7,10.93,12.21,1.28
1,Annagasse ,8,10.93,12.21,1.28
1,Annagasse ,9,10.93,12.21,1.28
1,Annagasse ,10,10.93,12.21,1.28
1,Annagasse ,16,10.93,12.21,1.28
1,Annagasse ,18,10.93,12.21,1.28
1,Aspernbrücke ,106,10.93,12.21,1.28
1,Auerspergstraße ,2,10.93,12.21,1.28
1,Auerspergstraße ,4,10.93,12.21,1.28
1,Augustinerbastei ,1 - 6,10.93,12.21,1.28
1,Augustinerbastei ,1,10.93,12.21,1.28
1,Augustinerstraße ,12,10.93,12.21,1.28
1,Augustinerstraße ,5,10.93,12.21,1.28
1,Augustinerstraße ,3,10.93,12.21,1.28
1,Augustinerstraße ,7 / 1,10.93,12.21,1.28
1,Auwinkel ,4,10.93,12.21,1.28
1,Babenbergerstraße ,9,10.93,12.21,1.28
1,Babenbergerstraße ,1,10.93,12.21,1.28
1,Ballgasse ,8,10.93,12.21,1.28
1,Ballgasse ,6,10.93,12.21,1.28
1,Ballgasse ,4,10.93,12.21,1.28
1,Ballhausplatz ,2,10.93,12.21,1.28
1,Bankgasse ,1,10.93,12.21,1.28
1,Bankgasse ,2,10.93,12.21,1.28
1,Bankgasse ,3,10.93,12.21,1.28
1,Bankgasse ,4 - 6,10.93,12.21,1.28
1,Bankgasse ,8,10.93,12.21,1.28
1,Bartensteingasse ,13,10.93,12.21,1.28
1,Bartensteingasse ,9,10.93,12.21,1.28
1,Bartensteingasse ,8,10.93,12.21,1.28
1,Bartensteingasse ,4,10.93,12.21,1.28
1,Bartensteingasse ,3,10.93,12.21,1.28
1,Bartensteingasse ,2,10.93,12.21,1.28
1,Bartensteingasse ,14,10.93,12.21,1.28
1,Bauernmarkt ,24,10.93,12.21,1.28
1,Bauernmarkt ,22,10.93,12.21,1.28
1,Bauernmarkt ,18,10.93,12.21,1.28
1,Bauernmarkt ,13,10.93,12.21,1.28
1,Bauernmarkt ,12,10.93,12.21,1.28
1,Bauernmarkt ,11,10.93,12.21,1.28
1,Bauernmarkt ,10,10.93,12.21,1.28
1,Bauernmarkt ,9 / 3,10.93,12.21,1.28
1,Bauernmarkt ,8 / 1,10.93,12.21,1.28
1,Bauernmarkt ,6,10.93,12.21,1.28
1,Bauernmarkt ,1,10.93,12.21,1.28
1,Beethovenplatz ,1,10.93,12.21,1.28
1,Beethovenplatz ,2,10.93,12.21,1.28
1,Beethovenplatz ,3,10.93,12.21,1.28
1,Bellariastraße ,4,10.93,12.21,1.28
1,Bellariastraße ,6,10.93,12.21,1.28
1,Bellariastraße ,8,10.93,12.21,1.28
1,Bellariastraße ,10,10.93,12.21,1.28
1,Bellariastraße ,12,10.93,12.21,1.28
1,Biberstraße ,26,10.93,12.21,1.28
1,Biberstraße ,8,10.93,12.21,1.28
1,Biberstraße ,9,10.93,12.21,1.28
1,Biberstraße ,10,10.93,12.21,1.28
1,Biberstraße ,11,10.93,12.21,1.28
1,Biberstraße ,14,10.93,12.21,1.28
1,Biberstraße ,15,10.93,12.21,1.28
1,Biberstraße ,22,10.93,12.21,1.28
1,Biberstraße ,2,10.93,12.21,1.28
1,Biberstraße ,3,10.93,12.21,1.28
1,Biberstraße ,4,10.93,12.21,1.28
1,Blumenstockgasse ,5,10.93,12.21,1.28
1,Blutgasse ,7,10.93,12.21,1.28
1,Blutgasse ,5,10.93,12.21,1.28
1,Bognergasse ,7,10.93,12.21,1.28
1,Brandstätte ,7 - 9,10.93,12.21,1.28
1,Brandstätte ,5,10.93,12.21,1.28
1,Brandstätte ,3,10.93,12.21,1.28
1,Bräunerstraße ,11 A,10.93,12.21,1.28
1,Bräunerstraße ,11,10.93,12.21,1.28
1,Bräunerstraße ,10,10.93,12.21,1.28
1,Bräunerstraße ,7,10.93,12.21,1.28
1,Bräunerstraße ,5,10.93,12.21,1.28
1,Bräunerstraße ,4 - 6,10.93,12.21,1.28
1,Bräunerstraße ,3,10.93,12.21,1.28
1,Bräunerstraße ,2 / 3,10.93,12.21,1.28
1,Bräunerstraße ,2,10.93,12.21,1.28
1,Burgring ,1,10.93,12.21,1.28
1,Burgring ,5,10.93,12.21,1.28
1,Burgring ,7,10.93,12.21,1.28
1,Bäckerstraße ,20,10.93,12.21,1.28
1,Bäckerstraße ,16,10.93,12.21,1.28
1,Bäckerstraße ,14,10.93,12.21,1.28
1,Bäckerstraße ,12,10.93,12.21,1.28
1,Bäckerstraße ,10,10.93,12.21,1.28
1,Bäckerstraße ,9 / 1,10.93,12.21,1.28
1,Bäckerstraße ,9 / 2,10.93,12.21,1.28
1,Bäckerstraße ,8,10.93,12.21,1.28
1,Bäckerstraße ,6,10.93,12.21,1.28
1,Bäckerstraße ,3,10.93,12.21,1.28
1,Bäckerstraße ,2,10.93,12.21,1.28
1,Bäckerstraße ,1,10.93,12.21,1.28
1,Börsegasse ,3,10.93,12.21,1.28
1,Börsegasse ,5,10.93,12.21,1.28
1,Börsegasse ,6,10.93,12.21,1.28
1,Börsegasse ,7,10.93,12.21,1.28
1,Börsegasse ,9,10.93,12.21,1.28
1,Börsegasse ,12,10.93,12.21,1.28
1,Börsegasse ,14,10.93,12.21,1.28
1,Börsegasse ,18,10.93,12.21,1.28
1,Börseplatz ,6,10.93,12.21,1.28
1,Börseplatz ,1,10.93,12.21,1.28
1,Börseplatz ,3,10.93,12.21,1.28
1,Bösendorferstraße ,13,10.93,12.21,1.28
1,Bösendorferstraße ,9,10.93,12.21,1.28
1,Bösendorferstraße ,7,10.93,12.21,1.28
1,Bösendorferstraße ,6,10.93,12.21,1.28
1,Bösendorferstraße ,5,10.93,12.21,1.28
1,Bösendorferstraße ,4,10.93,12.21,1.28
1,Bösendorferstraße ,2,10.93,12.21,1.28
1,Bösendorferstraße ,1,10.93,12.21,1.28
1,Canovagasse ,1 - 5,10.93,12.21,1.28
1,Canovagasse ,3 - 5,10.93,12.21,1.28
1,Canovagasse ,7,10.93,12.21,1.28
1,Cobdengasse ,4,10.93,12.21,1.28
1,Concordiaplatz ,2,10.93,12.21,1.28
1,Concordiaplatz ,1,10.93,12.21,1.28
1,Deutschmeisterplatz ,2,10.93,12.21,1.28
1,Deutschmeisterplatz ,3,10.93,12.21,1.28
1,Deutschmeisterplatz ,4,10.93,12.21,1.28
1,Doblhoffgasse ,3,10.93,12.21,1.28
1,Doblhoffgasse ,5,10.93,12.21,1.28
1,Doblhoffgasse ,6,10.93,12.21,1.28
1,Doblhoffgasse ,7,10.93,12.21,1.28
1,Doblhoffgasse ,9,10.93,12.21,1.28
1,Domgasse ,1,10.93,12.21,1.28
1,Domgasse ,5,10.93,12.21,1.28
1,Domgasse ,8,10.93,12.21,1.28
1,Domgasse ,6,10.93,12.21,1.28
1,Dominikanerbastei ,19,10.93,12.21,1.28
1,Dominikanerbastei ,22,10.93,12.21,1.28
1,Dominikanerbastei ,21,10.93,12.21,1.28
1,Dominikanerbastei ,17,10.93,12.21,1.28
1,Dominikanerbastei ,6,10.93,12.21,1.28
